age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Product_Search_Method,Customer_Reviews_Importance,Review_Left,Personalized_Recommendation_Frequency ,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,,,,
25,Male,Few times a month,Clothing and Fashion,Home and Kitchen,No,Filter,3,No,3,3,3,Wide product selection,Product quality and accuracy,,,
28,Female,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,1,No,1,1,1,Product recommendations,Customer service responsiveness
17,Prefer not to say,Few times a month,Clothing and Fashion,Home and Kitchen,others,No,Filter,3,No,5,5,5,User-friendly website/app interface,Shipping speed and reliability,,
16,Male,Once a month,Clothing and Fashion,others,No,Keyword,4,No,4,4,4,User-friendly website/app interface,Customer service responsiveness,,,
32,Male,Less than once a month,Groceries and Gourmet Food,Beauty and Personal Care,others,Yes,Keyword,1,No,2,2,1,Wide product selection,Customer service responsiveness,,
27,Female,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,categories,1,No,1,2,2,Wide product selection,Product quality and accuracy,
18,Female,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,No,Keyword,2,Yes,1,2,2,Competitive prices,Shipping speed and reliability,,
37,Male,Less than once a month,others,No,others,3,No,4,4,4,Wide product selection,Product quality and accuracy,,,,
28,Male,Once a month,Clothing and Fashion,Yes,categories,1,Yes,2,3,3,Product recommendations,Product quality and accuracy,,,,
48,Female,Less than once a month,Beauty and Personal Care,Sometimes,categories,5,No,3,3,2,Competitive prices,Shipping speed and reliability,,,,
50,Female,Multiple times a week,Home and Kitchen,Yes,others,3,Yes,2,3,3,Wide product selection,Product quality and accuracy,,,,
24,Female,Few times a month,Clothing and Fashion,Home and Kitchen,No,Keyword,1,Yes,3,3,2,Competitive prices,User interface of app,,,
40,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,others,No,categories,1,No,5,3,4,Product recommendations,Product quality and accuracy,,
25,Female,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,Filter,1,Yes,1,1,3,Quick delivery,Reducing packaging waste,,
31,Male,Once a week,Beauty and Personal Care,Home and Kitchen,others,No,Keyword,4,Yes,2,3,1,Competitive prices,Product quality and accuracy,,
18,Female,Once a month,Clothing and Fashion,No,Keyword,2,Yes,1,5,3,User-friendly website/app interface,Shipping speed and reliability,,,,
26,Female,Once a week,Beauty and Personal Care,Yes,categories,1,Yes,1,1,1,Wide product selection,Product quality and accuracy,,,,
16,Female,Less than once a month,Clothing and Fashion,Home and Kitchen,No,Keyword,1,Yes,1,3,3,Wide product selection,Product quality and accuracy,,,
18,Male,Once a week,Beauty and Personal Care,Clothing and Fashion,Sometimes,categories,3,No,3,3,2,Competitive prices,Reducing packaging waste,,,
40,Male,Less than once a month,Home and Kitchen,others,No,Keyword,3,No,2,2,2,Competitive prices,Product quality and accuracy,,,
19,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,Yes,Keyword,1,Yes,1,1,1,Wide product selection,Customer service responsiveness,,,
16,Prefer not to say,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Sometimes,Filter,2,No,2,1,1,User-friendly website/app interface,Shipping speed and reliability
43,Male,Less than once a month,Groceries and Gourmet Food,Home and Kitchen,No,Keyword,3,No,1,3,2,Wide product selection,Customer service responsiveness,,,
25,Prefer not to say,Once a week,Clothing and Fashion,Home and Kitchen,others,No,categories,3,No,4,2,3,Competitive prices,Reducing packaging waste,,
22,Female,Once a month,Beauty and Personal Care,Clothing and Fashion,others,Sometimes,Keyword,1,Yes,1,2,1,Competitive prices,Product quality and accuracy,,
17,Prefer not to say,Once a month,Clothing and Fashion,others,Sometimes,categories,3,No,4,4,4,Wide product selection,Customer service responsiveness,,,
34,Male,Less than once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Sometimes,Keyword,1,Yes,1,1,1,Competitive prices,Customer service responsiveness
30,Prefer not to say,Few times a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Sometimes,others,4,No,2,4,3,User-friendly website/app interface,Reducing packaging waste,
31,Others,Once a month,Home and Kitchen,Sometimes,Filter,3,Yes,4,2,2,Wide product selection,Reducing packaging waste,,,,
31,Female,Few times a month,Clothing and Fashion,Home and Kitchen,Sometimes,categories,3,No,2,2,2,Competitive prices,Shipping speed and reliability,,,
34,Prefer not to say,Multiple times a week,Beauty and Personal Care,Yes,Keyword,1,Yes,5,5,5,Wide product selection,Product quality and accuracy,,,,
26,Female,Once a month,Clothing and Fashion,No,categories,1,Yes,1,1,3,User-friendly website/app interface,Product quality and accuracy,,,,
26,Male,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,1,Yes,1,1,1,Product recommendations,Customer service responsiveness
24,Prefer not to say,Less than once a month,Clothing and Fashion,others,Sometimes,others,4,No,4,4,4,Product recommendations,Customer service responsiveness,,,
26,Female,Once a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,No,categories,3,No,4,4,3,Competitive prices,Customer service responsiveness,
29,Male,Less than once a month,Groceries and Gourmet Food,Beauty and Personal Care,Home and Kitchen,Sometimes,Keyword,1,No,3,2,1,Product recommendations,Reducing packaging waste,,
37,Prefer not to say,Few times a month,Beauty and Personal Care,Clothing and Fashion,Yes,Filter,2,No,3,3,2,User-friendly website/app interface,Product quality and accuracy,,,
34,Others,Few times a month,Clothing and Fashion,Sometimes,Filter,3,No,3,3,3,User-friendly website/app interface,Customer service responsiveness,,,,
31,Female,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,1,No,2,3,1,Competitive prices,Customer service responsiveness
27,Male,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,No,categories,3,No,2,2,2,Product recommendations,Customer service responsiveness,,,
23,Male,Once a month,Clothing and Fashion,Home and Kitchen,others,Sometimes,categories,3,No,2,1,2,Wide product selection,Product quality and accuracy,,
21,Prefer not to say,Once a month,Beauty and Personal Care,Home and Kitchen,others,Sometimes,categories,3,Yes,2,2,2,Wide product selection,Customer service responsiveness,,
53,Male,Less than once a month,Groceries and Gourmet Food,Home and Kitchen,Yes,Keyword,2,No,1,2,1,Wide product selection,Customer service responsiveness,,,
26,Prefer not to say,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,others,No,Keyword,2,Yes,3,2,2,Competitive prices,Shipping speed and reliability,
28,Prefer not to say,Few times a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,categories,3,No,2,2,2,Competitive prices,Customer service responsiveness,,
47,Female,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,3,Yes,2,3,2,Competitive prices,Customer service responsiveness
37,Prefer not to say,Once a week,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,1,Yes,2,2,2,Competitive prices,Product quality and accuracy,,
37,Prefer not to say,Once a week,Groceries and Gourmet Food,Beauty and Personal Care,others,Sometimes,Filter,1,Yes,3,1,1,Product recommendations,Shipping speed and reliability,,
39,Male,Less than once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,3,Yes,5,3,2,Competitive prices,Shipping speed and reliability
40,Prefer not to say,Few times a month,Groceries and Gourmet Food,Clothing and Fashion,No,categories,3,No,2,2,3,Wide product selection,Customer service responsiveness,,,
23,Female,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Sometimes,Keyword,1,Yes,2,2,1,User-friendly website/app interface,Shipping speed and reliability,,,
25,Prefer not to say,Few times a month,Clothing and Fashion,Home and Kitchen,others,No,Keyword,2,Yes,2,2,2,Product recommendations,Product quality and accuracy,,
34,Female,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,Yes,Keyword,5,Yes,5,4,1,Competitive prices,Customer service responsiveness,,,
26,Female,Few times a month,Groceries and Gourmet Food,Clothing and Fashion,Home and Kitchen,others,No,Keyword,2,No,2,2,2,Competitive prices,Shipping speed and reliability,
31,Prefer not to say,Once a week,Clothing and Fashion,Home and Kitchen,others,No,Keyword,3,Yes,4,2,3,Product recommendations,Customer service responsiveness,,
26,Female,Few times a month,Clothing and Fashion,Home and Kitchen,Sometimes,categories,4,No,4,2,2,Wide product selection,Product quality and accuracy,,,
34,Female,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Sometimes,categories,3,Yes,2,3,3,Product recommendations,Customer service responsiveness
18,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,Yes,Keyword,3,No,3,3,1,Wide product selection,Customer service responsiveness,,,
40,Male,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Sometimes,others,3,No,2,2,2,Product recommendations,Customer service responsiveness,,
42,Female,Few times a month,Clothing and Fashion,Home and Kitchen,others,No,Keyword,3,No,3,4,2,Product recommendations,Customer service responsiveness,,
35,Prefer not to say,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Sometimes,Keyword,1,Yes,1,2,1,Competitive prices,Customer service responsiveness
37,Male,Once a month,Clothing and Fashion,Home and Kitchen,others,No,Filter,3,No,2,2,2,Wide product selection,Customer service responsiveness,,
46,Male,Less than once a month,Home and Kitchen,others,Sometimes,others,4,No,4,4,4,Product recommendations,Product quality and accuracy,,,
24,Prefer not to say,Few times a month,Beauty and Personal Care,Clothing and Fashion,Sometimes,Keyword,5,No,5,4,2,Competitive prices,I don't have any problem with Amazon,,,
35,Prefer not to say,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,No,Filter,3,Yes,2,3,2,Competitive prices,Product quality and accuracy,,,
46,Female,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,Filter,2,No,2,2,2,Competitive prices,Shipping speed and reliability,
32,Others,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,2,No,2,2,1,Product recommendations,Customer service responsiveness
35,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,Keyword,2,No,2,2,2,Product recommendations,Customer service responsiveness,,
36,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Yes,Filter,2,No,2,2,1,Wide product selection,Reducing packaging waste,,
15,Female,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,Keyword,3,No,1,2,2,Wide product selection,Product quality and accuracy,,
43,Prefer not to say,Less than once a month,Groceries and Gourmet Food,Home and Kitchen,others,Sometimes,Keyword,1,No,1,3,1,Competitive prices,No problems with Amazon,,
20,Prefer not to say,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Sometimes,categories,3,Yes,4,2,2,Product recommendations,Product quality and accuracy,
34,Female,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,categories,2,No,2,1,1,User-friendly website/app interface,Product quality and accuracy,,
34,Male,Less than once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,3,No,1,3,1,Competitive prices,Customer service responsiveness
25,Female,Few times a month,Clothing and Fashion,Home and Kitchen,others,Yes,Filter,3,No,2,4,3,Product recommendations,Shipping speed and reliability,,
21,Prefer not to say,Once a month,Beauty and Personal Care,Clothing and Fashion,Sometimes,Keyword,1,No,3,1,1,Competitive prices,Customer service responsiveness,,,
24,Prefer not to say,Once a month,Clothing and Fashion,Home and Kitchen,No,categories,2,No,3,1,1,Competitive prices,Customer service responsiveness,,,
36,Female,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Yes,categories,3,Yes,2,2,1,Product recommendations,Customer service responsiveness,,
46,Male,Few times a month,Clothing and Fashion,Home and Kitchen,No,Filter,3,Yes,1,3,2,Product recommendations,Reducing packaging waste,,,
27,Male,Once a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,Keyword,1,Yes,1,5,1,Competitive prices,Customer service responsiveness,,
25,Male,Few times a month,Clothing and Fashion,Home and Kitchen,No,Filter,2,No,2,3,1,Wide product selection,Product quality and accuracy,,,
43,Male,Once a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,Keyword,1,No,2,5,2,Wide product selection,Customer service responsiveness,,
32,Prefer not to say,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,Sometimes,Keyword,1,No,1,2,1,Competitive prices,Customer service responsiveness,,,
18,Male,Once a week,Clothing and Fashion,Home and Kitchen,Sometimes,categories,2,No,3,3,3,Product recommendations,Reducing packaging waste,,,
45,Female,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,categories,3,No,3,2,3,Product recommendations,Reducing packaging waste,,
25,Prefer not to say,Once a month,Beauty and Personal Care,Clothing and Fashion,others,Yes,Keyword,1,No,1,2,1,Product recommendations,Reducing packaging waste,,
45,Male,Less than once a month,Clothing and Fashion,Home and Kitchen,Sometimes,Filter,2,No,2,2,3,Product recommendations,Customer service responsiveness,,,
32,Female,Once a week,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Sometimes,Filter,2,Yes,2,3,2,Product recommendations,Customer service responsiveness
42,Female,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Sometimes,Keyword,1,Yes,1,2,2,Wide product selection,Customer service responsiveness
35,Female,Multiple times a week,Clothing and Fashion,Home and Kitchen,No,categories,4,No,3,3,4,Product recommendations,Customer service responsiveness,,,
35,Female,Few times a month,Groceries and Gourmet Food,Clothing and Fashion,Home and Kitchen,others,No,others,4,Yes,4,4,3,Competitive prices,Customer service responsiveness,
52,Male,Multiple times a week,Groceries and Gourmet Food,Beauty and Personal Care,others,Yes,Keyword,2,Yes,3,1,1,User-friendly website/app interface,Shipping speed and reliability,,
24,Female,Less than once a month,Home and Kitchen,No,categories,1,Yes,4,1,3,Competitive prices,Product quality and accuracy,,,,
28,Female,Once a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,Keyword,2,No,2,3,2,Wide product selection,Product quality and accuracy,,
33,Female,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,Keyword,2,No,2,2,2,User-friendly website/app interface,Product quality and accuracy,,
23,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,Keyword,3,Yes,4,5,5,Wide product selection,Product quality and accuracy,,
21,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,Yes,Keyword,2,No,1,2,2,User-friendly website/app interface,Product quality and accuracy,,,
34,Female,Few times a month,Home and Kitchen,No,categories,3,No,1,3,3,Product recommendations,Reducing packaging waste,,,,
23,Prefer not to say,Once a month,Clothing and Fashion,No,Filter,2,No,3,2,2,Competitive prices,Customer service responsiveness,,,,
34,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,others,3,Yes,2,2,5,User-friendly website/app interface,Shipping speed and reliability,,,,
34,Female,Once a week,Home and Kitchen,No,Filter,3,No,2,2,2,Competitive prices,Reducing packaging waste,,,,
25,Female,Less than once a month,others,Sometimes,categories,3,No,3,3,3,Product recommendations,Shipping speed and reliability,,,,
32,Male,Less than once a month,others,Sometimes,categories,1,No,2,2,2,Wide product selection,Customer service responsiveness,,,,
24,Female,Few times a month,Home and Kitchen,Yes,Keyword,1,Yes,2,2,2,Wide product selection,Product quality and accuracy,,,,
34,Female,Few times a month,Clothing and Fashion,Sometimes,categories,3,No,5,1,3,Product recommendations,Reducing packaging waste,,,,
44,Male,Once a week,Beauty and Personal Care,Sometimes,categories,3,Yes,3,3,3,Product recommendations,Reducing packaging waste,,,,
23,Female,Once a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,Filter,2,Yes,2,2,1,Wide product selection,Customer service responsiveness,,
23,Female,Few times a month,Clothing and Fashion,Sometimes,categories,3,Yes,3,4,2,Product recommendations,Customer service responsiveness,,,,
34,Female,Once a week,Beauty and Personal Care,Sometimes,Keyword,4,Yes,3,2,2,Product recommendations,Reducing packaging waste,,,,
23,Female,Once a week,Beauty and Personal Care,Clothing and Fashion,Yes,Filter,3,Yes,3,1,4,Competitive prices,Reducing packaging waste,,,
36,Female,Once a month,Home and Kitchen,No,categories,3,No,3,3,2,User-friendly website/app interface,Product quality and accuracy,,,,
24,Female,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Sometimes,Keyword,2,Yes,3,3,3,Competitive prices,Customer service responsiveness
21,Female,Once a week,Beauty and Personal Care,Clothing and Fashion,others,No,Filter,4,Yes,3,3,3,Product recommendations,Reducing packaging waste,,
21,Female,Few times a month,Clothing and Fashion,Sometimes,categories,3,Yes,2,2,2,Competitive prices,Customer service responsiveness,,,,
45,Male,Once a month,Clothing and Fashion,Sometimes,Keyword,3,Yes,2,3,2,Competitive prices,Product quality and accuracy,,,,
21,Female,Once a week,Beauty and Personal Care,Sometimes,Filter,2,No,2,2,2,Competitive prices,Customer service responsiveness,,,,
23,Female,Once a week,Clothing and Fashion,Yes,categories,3,Yes,2,2,2,Product recommendations,Reducing packaging waste,,,,
21,Female,Once a week,Groceries and Gourmet Food,Beauty and Personal Care,Home and Kitchen,Yes,Keyword,2,Yes,3,1,1,Product recommendations,Reducing packaging waste,,
34,Female,Once a month,Clothing and Fashion,Sometimes,categories,2,Yes,2,3,3,Product recommendations,Reducing packaging waste,,,,
21,Female,Few times a month,Beauty and Personal Care,Sometimes,categories,3,Yes,2,3,3,Product recommendations,Reducing packaging waste,,,,
23,Female,Once a week,Clothing and Fashion,Sometimes,Filter,3,No,2,4,3,Product recommendations,Customer service responsiveness,,,,
21,Female,Once a week,Groceries and Gourmet Food,Clothing and Fashion,others,Sometimes,categories,3,No,3,3,4,Product recommendations,Reducing packaging waste,,
32,Female,Once a month,others,Sometimes,others,2,Yes,3,3,3,Product recommendations,Customer service responsiveness,,,,
35,Prefer not to say,Once a week,Groceries and Gourmet Food,No,Filter,2,No,4,3,2,Competitive prices,Customer service responsiveness,,,,
37,Male,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Home and Kitchen,Yes,Filter,2,No,2,2,1,Product recommendations,Reducing packaging waste,,
23,Female,Once a week,Clothing and Fashion,No,categories,2,No,1,4,2,Product recommendations,Reducing packaging waste,,,,
33,Others,Few times a month,Clothing and Fashion,Sometimes,others,3,No,3,3,2,Competitive prices,Customer service responsiveness,,,,
35,Female,Few times a month,Clothing and Fashion,Home and Kitchen,Sometimes,categories,4,Yes,2,3,2,Product recommendations,Reducing packaging waste,,,
44,Female,Once a week,Clothing and Fashion,Sometimes,categories,3,Yes,3,4,4,Product recommendations,Reducing packaging waste,,,,
34,Male,Once a week,Clothing and Fashion,Sometimes,categories,4,No,2,3,2,Competitive prices,Reducing packaging waste,,,,
34,Prefer not to say,Once a month,Clothing and Fashion,No,categories,2,Yes,2,3,3,Competitive prices,Customer service responsiveness,,,,
34,Female,Few times a month,others,No,categories,2,No,1,3,1,Competitive prices,Customer service responsiveness,,,,
34,Female,Few times a month,Clothing and Fashion,No,Filter,3,Yes,2,2,1,Competitive prices,Reducing packaging waste,,,,
3,Prefer not to say,Once a month,Home and Kitchen,No,categories,3,Yes,3,3,2,Competitive prices,Customer service responsiveness,,,,
23,Female,Multiple times a week,Beauty and Personal Care,No,categories,3,Yes,3,3,2,Competitive prices,Product quality and accuracy,,,,
33,Female,Few times a month,Clothing and Fashion,Yes,categories,4,Yes,3,3,1,Wide product selection,Customer service responsiveness,,,,
23,Female,Few times a month,Clothing and Fashion,Sometimes,others,3,No,3,3,3,Competitive prices,Reducing packaging waste,,,,
34,Female,Few times a month,Groceries and Gourmet Food,Home and Kitchen,Sometimes,Filter,3,Yes,1,3,2,Competitive prices,Reducing packaging waste,,,
23,Female,Few times a month,Beauty and Personal Care,Home and Kitchen,Sometimes,Filter,2,No,3,3,4,Product recommendations,Reducing packaging waste,,,
34,Prefer not to say,Once a week,Clothing and Fashion,Sometimes,categories,3,No,2,2,3,Product recommendations,Customer service responsiveness,,,,
23,Female,Few times a month,Clothing and Fashion,Yes,Keyword,3,Yes,3,3,3,Product recommendations,Reducing packaging waste,,,,
23,Female,Once a week,Beauty and Personal Care,Sometimes,categories,2,No,2,4,3,Product recommendations,Reducing packaging waste,,,,
23,Female,Once a week,Beauty and Personal Care,Home and Kitchen,Sometimes,categories,1,Yes,3,4,1,Product recommendations,Reducing packaging waste,,,
